DATETIME,TEAM,BOAT,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_RUDDER_deg,ANGLE_RUD_RAKE_P_deg,ANGLE_RUD_RAKE_S_deg,ANGLE_WING_ROT_deg,ANGLE_WING_TWIST_deg,AWA_SGP_deg,AWS_SGP_km_h_1,BOAT_SPEED_km_h_1,BROADCAST_MODE_unk,CURRENT_DIRECTION_deg,CURRENT_MAGNITUDE_km_h_1,DISTANCE_RACE_LEG_m,DISTANCE_RACE_m,GPS_COG_deg,GPS_SOG_km_h_1,HEADING_deg,HEEL_deg,LATITUDE_GPS_unk,LEEWAY_deg,LENGTH_DB_H_P_mm,LENGTH_DB_H_S_mm,LENGTH_RH_BOW_mm,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LONGITUDE_GPS_unk,PC_BEACON_NUMBER_unk,PC_DTB_m,PC_DTL_m,PC_DTO_m,PC_TTS_s,PER_JIB_LEAD_pct,PER_JIB_SHEET_pct,PITCH_deg,RATE_PITCH_deg_s_1,RATE_ROLL_deg_s_1,RATE_YAW_deg_s_1,TIME_RACE_LEG_s,TIME_RACE_s,TRK_BOAT_RACE_STATUS_unk,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_PENALTY_COUNT_unk,TRK_PENALTY_DISTANCE_m,TRK_RACE_NUM_unk,TRK_RACE_RANK_unk,TWA_SGP_deg,TWD_SGP_deg,TWS_SGP_km_h_1,VMG_km_h_1
2026-05-10 17:42:00+00:00,FRA,FRA,-13.0500001923946,-11.1500003671953,0.0,-9.40000003390586,-7.849999592345481,-5.860000072000171,4.721698674172415,5.53163424534016,-2.292561959538062,0.37598896313020536,-0.57947348930772,3.062673258976408,3.048272146620898,-1.115585330570545,7.20999993881261,-146.95304312500951,6.0517920255661,15.87920642852784,1.0,110.999999673762,0.0,211.4375,8219.49609375,7.39198930471922,15.7349813461304,7.066399821890782,-0.021400000194413422,32.2746075,-0.4782814993422278,1889.372515678404,1882.035493850704,73.08858856558791,-61.55438795685768,-54.208090901374796,-64.8449236,99.0,0.0,48.1294136047363,196.869216918945,-659.322021484375,97.4531710147858,95.7205414772034,0.11159999897542279,0.115357105944968,-0.294563273818466,-0.7635999733808634,0.0,613.397277832031,3.0,6.0,7.0,0.0,0.0,26051006.0,3.0,-171.44874203980822,204.379859817318,21.249202251434298,-15.68819366455078
2026-05-10 17:42:01+00:00,FRA,FRA,-13.0500001923946,-11.1500003671953,0.0,-9.40000003390586,-7.679999940507903,-5.78999993914028,4.719361255372386,5.530462227567265,-2.292203588050048,0.3799085578988672,-1.0034389925007337,3.0629427953165305,3.048543390508312,-2.13410951088868,7.260000167876956,-150.402391108703,6.88617789745331,14.94132591247558,1.0,110.999999673762,0.0,211.4375,8219.49609375,7.00981759565538,14.7395925521851,6.174599951208785,-0.18479999942224498,32.2746457,-0.8697552857253903,1889.3724918365438,1881.97224140167,99.01199936866746,-17.514076549559828,-88.39744031429278,-64.8449176,99.0,0.0,48.1294136047363,196.869216918945,-660.322021484375,95.5840528011322,100.0,0.17099998640237507,-0.81569085931713,0.101152300163112,-0.830399981187699,0.0,613.397277832031,3.0,6.0,7.0,0.0,0.0,26051006.0,3.0,-171.401045462796,204.097096815869,21.20274381637575,-14.768345489501959
2026-05-10 17:42:02+00:00,FRA,FRA,-13.0500001923946,-11.1500003671953,0.0,-9.40000003390586,-7.587500054616252,-5.812499948304137,4.719507037222485,5.53090106722144,-2.292382773794055,0.37652337607397,-0.8957404896266961,3.0634819427019675,3.04908587828314,-2.2941360513374898,7.237500137368762,-152.153583310003,7.418371295928955,14.283969783782952,1.0,110.999999673762,0.0,211.4375,8219.49609375,6.22657205588652,14.0292423248291,5.596500018279242,-0.058750000545416875,32.2746785,-1.051358025572385,1889.374822378155,1881.72817230225,61.77208293229346,-20.618599606677876,-31.24791430309415,-64.8449127,99.0,0.0,48.1294136047363,196.869216918945,-661.322021484375,95.4121530056,100.0,-0.01700000233625123,0.860964074539472,0.233149361092032,-0.642249964742612,0.0,613.397277832031,3.0,6.0,7.0,0.0,0.0,26051006.0,3.0,-171.21035067928278,203.8014862285905,21.061387538909898,-14.11840217113495
2026-05-10 17:42:03+00:00,FRA,FRA,-13.0500001923946,-11.1500003671953,0.0,-9.40000003390586,-7.64999970061646,-5.6499999295526,4.719507037222485,5.53090106722144,-2.29327870251409,0.364942556882482,-0.8957404896266961,3.0621341009188,3.04908587828314,-2.39808646122406,7.400000262842,-152.153583310003,7.418371295928955,13.3940514564514,1.0,110.999999673762,0.0,211.4375,8219.49609375,6.22657205588652,14.0292423248291,4.28099992788438,0.0359999994543265,32.2747299,-1.07322730411899,1889.40870761871,1882.04455375671,15.3422579169273,-39.4401177763939,-49.78172108531,-64.8449059,99.0,0.0,48.1294136047363,196.869216918945,-661.322021484375,95.4121530056,100.0,-0.126000008095303,0.860964074539472,0.233149361092032,-1.15999994832553,0.0,613.397277832031,3.0,6.0,7.0,0.0,0.0,26051006.0,3.0,-171.106989426573,203.8014862285905,21.061387538909898,-14.11840217113495
2026-05-10 17:42:04+00:00,FRA,FRA,-13.04000011243078,-11.1500003671953,0.0,-9.419999852324032,-7.64999970061646,-5.810000013690548,4.719507250665901,5.53119476535575,-2.292920331026076,0.3624477449107702,-0.10559844815541305,3.062673258976408,3.04908587828314,-2.092147816835884,7.210000109567337,-154.8224114262935,8.31934161186218,13.06355884552004,1.0,110.999999673762,0.0,211.4375,8219.49609375,4.70771685005457,12.941157245636,3.5545999608320997,-0.13360000227345825,32.2747496,-1.188354347414759,1889.3725156784021,1881.99028968811,41.00869819521904,-29.562367871403683,-18.78730789758266,-64.8449038,99.0,0.0,48.1294136047363,196.869216918945,-663.220031738281,95.8310306072235,100.0,0.14239999965730976,0.0452733919801671,-0.187293578758255,-1.204999966653246,0.0,613.397277832031,3.0,6.0,7.0,0.0,0.0,26051006.0,3.0,-170.9504442228722,203.17442022127,20.887072277069052,-12.65571098327635
2026-05-10 17:42:05+00:00,FRA,FRA,-13.019999952503138,-11.1500003671953,0.0,-9.409999943114945,-7.669999860544091,-5.829999917486086,4.721261115178709,5.531487396273005,-2.292920331026076,0.3667239235788742,0.3997974524440935,3.0629427953165305,3.048543390508312,-1.214385991266334,7.190000035017071,-155.3319025572415,8.68201575279236,12.6632409095764,1.0,110.999999673762,0.0,211.4375,8219.49609375,3.81940891358575,12.6469923019409,2.484999978082236,-0.02279999929310931,32.2747817,-1.492386878104654,1889.300179481504,1882.0264577865578,54.92235086858274,-5.47367623075844,-14.52916424605063,-64.8449007,99.0,0.0,48.1294136047363,196.869216918945,-664.322021484375,97.5598692893982,99.3922054767609,-0.35980000473673746,-0.212000160574763,0.210579868093584,-0.9403999536551723,0.0,613.397277832031,3.0,6.0,7.0,0.0,0.0,26051006.0,3.0,-170.88873209768298,202.8347207628995,20.8166207313538,-12.46538709640504
2026-05-10 17:42:06+00:00,FRA,FRA,-12.98999988336642,-11.1500003671953,0.0,-9.44999957995129,-7.769999806408599,-5.86000007200017,4.720237654020265,5.5307550719279295,-2.292920245648712,0.36957483920235223,0.4428787238916035,3.0634819106854563,3.048272146620898,-1.35705566566848,7.14000014746218,-155.1945747737895,8.88697600364685,12.32580545425414,1.0,110.999999673762,0.0,211.4375,8219.49609375,3.39691582308698,12.1487957954407,1.50359993563204,0.19280000923203172,32.2748131,-1.883149748516922,1889.327311515804,1881.990313529966,31.7817635834217,30.434541776776314,-20.543913543224324,-64.8448981,99.0,0.0,48.1294136047363,196.869216918945,-665.220031738281,97.3958730697632,99.4917750358582,0.37680000273741926,0.261309644070612,0.22871374019549,-1.1425999560375613,0.0,613.397277832031,3.0,6.0,7.0,0.0,0.0,26051006.0,3.0,-170.7425824418986,202.47500885026102,20.712009429931598,-12.15160932540892
2026-05-10 17:42:07+00:00,FRA,FRA,-12.9500002465301,-11.1500003671953,0.0,-9.520000139698002,-7.829999944682035,-5.880000061173072,4.71322539762019,5.53090106722144,-2.29327870251409,0.37313823960579784,0.21592330384014202,3.064290605083186,3.04881471977309,-1.8899689240069002,7.0600001053932075,-155.168572243619,9.222568416595461,11.9500503730774,1.0,110.999999673762,0.0,211.4375,8219.49609375,2.07630579069759,11.982017326355,0.45699998925619517,-0.09039999559114911,32.2748433,-2.0522248061842903,1889.390587806698,1882.017421722408,54.69571053981783,-14.236634131520992,-36.217489838600144,-64.8448961,99.0,0.0,48.1294136047363,196.869216918945,-666.220031738281,96.5146601200104,100.0,-0.16619999892599732,1.31426297238144,-0.633504687912884,-0.9183999570272434,0.0,613.397277832031,3.0,6.0,7.0,0.0,0.0,26051006.0,3.0,-170.3432677264146,202.102859163144,20.613751316070548,-11.708895835876458
2026-05-10 17:42:08+00:00,FRA,FRA,-12.9500002465301,-11.1500003671953,0.0,-9.52500017967991,-7.54999975475195,-5.7124998957179205,4.717608458076635,5.5313405472058506,-2.29327870251409,0.37518692016278876,0.14972496032697952,3.0641557835522724,3.0487468234238726,-2.010894776563675,7.237500137368762,-154.901054224397,9.629171562194825,11.581185436248798,1.0,110.999999673762,0.0,211.4375,8219.49609375,0.540983799189538,11.4456484794617,359.50749190705227,-0.30199999579296727,32.27487,-2.0293644885334574,1889.3069922924,1882.0558488368952,74.78064019232997,31.4620218705386,12.378535699099299,-64.8448947,99.0,0.0,48.1294136047363,196.869216918945,-667.322021484375,96.066153049469,100.0,0.30424999534198094,-1.26445798000565,0.882560012117142,-1.2784998884438448,0.0,613.397277832031,3.0,6.0,7.0,0.0,0.0,26051006.0,3.0,-169.7244601008195,201.726358645525,20.62187175750735,-11.249656891822799
2026-05-10 17:42:10+00:00,FRA,FRA,-12.866666816014067,-11.1999999132407,0.0,-9.566666894937926,-7.74999964648097,-5.816666648289064,4.71497819491594,5.53163445878357,-2.2937266668741074,-0.22390544376730626,0.783836351132071,3.064155836913125,3.04908587828314,-2.2392997708643376,7.0333333677853105,-150.267317287677,10.2291752815247,10.998163318634026,1.0,110.999999673762,0.0,211.4375,8219.49609375,359.991923073935,11.0009811401367,357.2264955922132,0.37449997922309997,32.2749318,-2.759220227148905,1889.3747925758323,1882.383465766905,57.6052451506257,-39.75768643431367,22.057752124965198,-64.8448929,99.0,0.0,48.1294136047363,196.869216918945,-669.220031738281,96.372401714325,100.0,-0.21650000459281188,0.613646233066189,-0.558792450233288,-1.4727499348304776,0.0,613.397277832031,3.0,6.0,7.0,0.0,0.0,26051006.0,3.0,-167.28823749180825,200.918770738441,20.3771152496338,-10.4538216590881
