DATETIME,TEAM,BOAT,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_RUDDER_deg,ANGLE_RUD_RAKE_P_deg,ANGLE_RUD_RAKE_S_deg,ANGLE_WING_ROT_deg,ANGLE_WING_TWIST_deg,AWA_SGP_deg,AWS_SGP_km_h_1,BOAT_SPEED_km_h_1,BROADCAST_MODE_unk,CURRENT_DIRECTION_deg,CURRENT_MAGNITUDE_km_h_1,DISTANCE_RACE_LEG_m,DISTANCE_RACE_m,GPS_COG_deg,GPS_SOG_km_h_1,HEADING_deg,HEEL_deg,LATITUDE_GPS_unk,LEEWAY_deg,LENGTH_DB_H_P_mm,LENGTH_DB_H_S_mm,LENGTH_RH_BOW_mm,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LONGITUDE_GPS_unk,PC_BEACON_NUMBER_unk,PC_DTB_m,PC_DTL_m,PC_DTO_m,PC_TTS_s,PER_JIB_LEAD_pct,PER_JIB_SHEET_pct,PITCH_deg,RATE_PITCH_deg_s_1,RATE_ROLL_deg_s_1,RATE_YAW_deg_s_1,TIME_RACE_LEG_s,TIME_RACE_s,TRK_BOAT_RACE_STATUS_unk,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_PENALTY_COUNT_unk,TRK_PENALTY_DISTANCE_m,TRK_RACE_NUM_unk,TWA_SGP_deg,TWD_SGP_deg,TWS_SGP_km_h_1,VMG_km_h_1
2024-06-02 19:27:32+00:00,DEN,DEN,3.597069180628906,3.02192780817138,0.0,2.401278080557158,1.759941972447128,1.128184820449908,6.549457509511235,-11.0261698913166,5.00468152233568,0.631958173002235,-1.641723852337275,-1.1807147808281002,6.313211212583478,-8.19172676312591,-2.468884402867686,-12.587065167622061,36.8544136047363,5.232454462051392,1.0,324.548295621555,0.220492212474346,0.0,0.0,9.78133461790955,5.40996494293213,3.508941064037235,0.03819936105472092,44.6524286,0.99998313022412,4.153179470449686,1834.1306924819942,242.288783192635,-11.2850172445178,30.9281870722771,-63.5633734,-2.0,344.926208496094,-129.832992553711,305.889404296875,148.550003051758,99.9553442001343,77.2946000099182,0.0899984945267755,0.896984944757385,-0.127997865107958,0.1223979450858953,0.0,0.0,1.0,7.0,0.0,0.0,0.0,24060204.0,-14.837752347264518,346.634914416085,31.4925275802612,5.099024047851565
2024-06-02 19:27:33+00:00,DEN,DEN,3.6028231881178243,2.99128454865826,0.0,2.435979667720368,1.807902066695076,1.1243369266592762,6.549752061419195,-11.02602304224945,5.00324982930828,0.6351990977634054,-2.76755167055415,-1.180174811685528,6.314304896624326,-9.24036929224728,-2.478486154736842,-12.810822677095839,36.3452899932861,5.0812878227233895,1.0,324.563294716972,0.220375120639801,0.0,0.0,16.5986249756747,5.04967646598816,3.87093500691068,0.43559269563370745,44.652442,0.99998313022412,4.280816111713648,1834.130716323854,146.612957119942,34.4690158963203,4.06428333371878,-63.56337,-2.0,343.519287109375,-129.518798828125,281.581604003906,147.449996948242,99.9553442001343,77.2772073745728,0.5004916096644985,-0.663988836034856,0.527991125201734,0.6963883186104881,0.0,0.0,1.0,7.0,0.0,0.0,0.0,24060204.0,-15.00020668912596,346.936426286806,31.722054290771503,4.948430934548377
2024-06-02 19:27:34+00:00,DEN,DEN,3.5989871831252125,2.993200117899672,0.0,2.4263409901410116,1.821329706339134,1.0743057269559062,6.549309593227025,-11.02661043851805,5.005039509625552,0.630877583714686,-0.164961901740928,-1.180984744055046,6.313484761659735,-10.95619135892993,-2.5246814134806224,-13.16800024804304,36.3089080810547,4.914878597259522,1.0,324.583184227835,0.220292012393475,0.0,0.0,16.6379292992536,5.15524735450745,4.68642117399612,0.48059194689915935,44.6524548,0.99998313022412,4.10408852621913,1834.199500083924,139.925450086594,-13.4217450395226,-105.380967259407,-63.5633652,-2.0,342.387390136719,-127.900802612305,291.381896972656,146.550003051758,99.94757771492,77.2810757160187,-0.107998193265378,0.445992516420762,-0.0989983426454317,0.8347859764910522,0.0,0.0,1.0,7.0,0.0,0.0,0.0,24060204.0,-15.358040982761839,347.268482763496,31.48859996795655,4.747874498367314
2024-06-02 19:27:35+00:00,DEN,DEN,3.602823017363092,2.993200117899672,0.0,2.426341587782568,1.8405145551232778,1.080077621002708,6.5500476805442105,-11.02631674038375,5.006471373407682,0.633758685572644,4.015784749629844,-1.180174833029868,6.313485188546556,-10.93940702281828,-2.5227453963603823,-15.01326925515886,36.6671653747559,5.05660068511963,1.0,324.60618830496,0.220212511718273,0.0,0.0,20.3697670768301,5.09234976768494,4.9859162179213055,0.44819247766374126,44.6524676,0.99998313022412,4.320089053362607,1834.16018486023,336.735904216766,-129.223883152008,17.8148224949837,-63.5633597,-2.0,340.715789794922,-126.316398620605,289.902893066406,145.449996948242,99.9495148658752,77.3158609867096,0.6714887305890735,-0.58899010393609,-0.405993194413449,-0.339994318437467,0.0,0.0,1.0,7.0,0.0,0.0,0.0,24060204.0,-17.5290545180003,347.32522797512,31.83215103149415,4.786471542945278
2024-06-02 19:27:36+00:00,DEN,DEN,3.5951511781326007,2.993200117899672,0.0,2.4186286820397,1.850108879161716,1.0781540689777043,6.550195596828425,-11.0254356459808,5.005039424248189,0.6733728009190246,0.33517275049815853,-1.179904848458582,6.313485359301287,-11.62527822681692,-2.5169971091549024,-15.422996764787602,36.8413192749023,4.950020427703857,1.0,324.627116004577,0.220135800540447,0.0,0.0,18.5669625510673,5.13454241752624,4.54792372064848,0.5627905654969784,44.6524802,0.99998313022412,4.29063430055976,1834.219121932984,114.099755883217,50.9603768587112,21.8093022704124,-63.5633535,-2.0,339.993804931641,-125.683403015137,288.450012207031,144.449996948242,99.9553442001343,77.310061454773,0.24799583112989898,1.41797619327691,-0.774987040649526,-0.050799134413615984,0.0,0.0,1.0,7.0,0.0,0.0,0.0,24060204.0,-17.92589431443886,347.214087136946,32.02049961090085,4.643037094789395
2024-06-02 19:27:37+00:00,DEN,DEN,3.5989871831252125,2.993200117899672,0.0,2.410917441155436,1.8654551189436301,1.128184542973472,6.549899977703404,-11.0258761931823,5.0053974969154265,0.6852571166314352,0.2211724442895355,-1.1801748330298678,6.314031603680159,-11.67067234705978,-2.470802618807402,-16.145655367655962,35.8900989532471,4.831910362243653,1.0,324.647797817384,0.220054610073566,0.0,0.0,15.6784823812581,4.88550124168396,4.985916431364715,-0.02219963158478472,44.6524928,0.99998313022412,4.231724981218578,1834.1503381729121,191.341206431389,-5.74443629011512,-28.1599294394255,-63.5633479,-2.0,339.880493164062,-124.00309753418,287.057403564453,143.449996948242,99.9514579772949,77.3158609867096,0.415993024915277,-0.547990772865177,0.987983448347759,0.27759533235015754,0.0,0.0,1.0,7.0,0.0,0.0,0.0,24060204.0,-18.730979298701442,347.07324863626,31.50120162963865,4.601615227971757
2024-06-02 19:27:38+00:00,DEN,DEN,3.595151178132604,2.99128454865826,0.0,2.40706081752927,1.8942301082753399,1.2109289550509559,6.54916189038622,-11.0261698913166,5.00468152233568,0.6748132984871512,0.6272687919017265,-1.1807147808280998,6.313484761659735,-10.201656946224034,-2.384222201737308,-14.04495487331874,36.0376831054688,4.764221963882446,1.0,324.668780158514,0.219973607361317,0.0,0.0,22.5903059722309,4.80931448936462,5.25241205664522,0.04159930082400114,44.6525051,0.99998313022412,4.261179640889168,1834.1601848602302,262.926697731018,-85.5382606387138,-27.9237143695354,-63.5633429,-2.0,338.760803222656,-123.974098205566,285.566101074219,142.449996948242,99.9495148658752,77.3293912410736,0.3659938457257085,-0.716987955703834,-0.959983941618938,0.833786020788307,0.0,0.0,1.0,7.0,0.0,0.0,0.0,24060204.0,-16.2862117815289,347.2774986132,31.6407039642334,4.524820432662964
2024-06-02 19:27:39+00:00,DEN,DEN,3.597069180628906,2.9970312563824963,0.0,2.4089894495074704,1.9287636300962903,1.27250804096143,6.549015041319064,-11.02602304224945,5.00360756046606,0.6823760894786712,4.04310305171066,-1.179634842542956,6.313758054603902,-9.18429412218039,-2.324561096978802,-11.483619591166681,36.4365898132324,4.837885465621948,1.0,324.688587707107,0.219895716011524,0.0,0.0,17.2006839528966,5.04274520874023,5.8834013673136845,0.07919867678438787,44.6525172,0.99998313022412,4.329907149076464,1834.1405391693102,141.412362456322,56.606762111187,-34.570075571537,-63.5633369,-2.0,338.259613037109,-121.96549987793,284.165100097656,141.449996948242,99.9534010887146,77.3351907730102,-0.06599889565279646,1.95096733711621,0.286995184094253,0.028399526362516393,0.0,0.0,1.0,7.0,0.0,0.0,0.0,24060204.0,-13.38397373242926,347.993548325027,31.5213821411133,4.744679174423217
2024-06-02 19:27:40+00:00,DEN,DEN,3.5932331756362963,2.997031299071178,0.0,2.399349662022372,1.9326009584380521,1.2301727782497118,6.549013974102005,-11.0258761931823,5.004323449668441,0.6852571273036056,5.450518064983445,-1.180174833029868,6.314031603680159,-10.248958396792599,-2.36306048276395,-10.213073095157535,34.8737125396728,4.65600757598877,1.0,324.710389670938,0.219817516207695,0.0,0.0,21.6250277802315,4.57076525688171,5.789902907765385,0.08459858965764558,44.6525295,0.99998313022412,4.182634130120277,1834.1699838638299,210.018023848534,71.9684362411499,-20.122054964304,-63.5633312,-2.0,336.412811279297,-121.958801269531,282.606903076172,140.449996948242,99.9553442001343,77.3313224315643,0.8879851033088355,-1.50097483780191,-0.627989470240658,-0.08659854775388334,0.0,0.0,1.0,7.0,0.0,0.0,0.0,24060204.0,-11.886028211590281,348.854753217096,30.854966926574697,4.640569773316383
2024-06-02 19:27:41+00:00,DEN,DEN,3.597069180628906,2.9970312563824963,0.0,2.410916715447836,1.953703596275086,1.289827778526656,6.54916189038622,-11.025876193182249,5.004323449668442,0.6794950943424184,0.43288746447676996,-1.180174811685528,6.313484761659735,-7.574519109343915,-2.307241402102258,-9.346960370660861,34.8183586120605,4.374784355163576,1.0,324.746616994296,0.219659198820591,0.0,0.0,13.6114997987776,4.45643320083618,5.3109111327825005,-0.400793264676612,44.6525409,0.99998313022412,4.3789981864392775,1834.1405153274543,202.185109257698,-164.448618888855,8.2442294806242,-63.5633257,-2.0,337.152496337891,-120.364097595215,269.958892822266,139.449996948242,99.9436914920807,77.3255228996277,0.28249528338029833,1.67097184294118,0.385993546750005,-0.4265928235026676,0.0,0.0,1.0,7.0,0.0,0.0,0.0,24060204.0,-10.824214174918719,349.659240218297,30.5297252655029,4.308616790771485
